NUMT, NUMCAPITALS, megaCityCapitalsPerSecond
1,2,53.1293
1,3,60.3205
1,4,67.9769
1,5,68.9404
1,10,82.1279
1,15,87.7083
1,20,94.1816
1,30,100.296
1,40,109.528
1,50,109.861

2,2,13.1193
2,3,19.316
2,4,25.0147
2,5,28.4336
2,10,61.8855
2,15,96.2688
2,20,104.825
2,30,140.584
2,40,147.822
2,50,151.081

4,2,8.39951
4,3,11.2078
4,4,15.9971
4,5,19.4525
4,10,39.9825
4,15,60.8927
4,20,84.2765
4,30,121.911
4,40,164.639
4,50,175.043

6,2,7.38569
6,3,10.2751
6,4,13.3517
6,5,16.6821
6,10,34.232
6,15,46.9277
6,20,63.0079
6,30,95.7046
6,40,111.761
6,50,173.556

8,2,6.18091
8,3,8.75944
8,4,10.399
8,5,14.0421
8,10,28.739
8,15,37.36
8,20,52.1337
8,30,77.0252
8,40,106.546
8,50,146.638
