ARRAYSIZE,NTime,NPerformance,Speedup,STime,SPerformance,Speedup
1024,362.16,1759.22,(4.86),362.52,1851.03,(5.11)
2048,362.52,1798.06,(4.96),364.20,1784.92,(4.90)
4096,358.41,1742.49,(4.86),364.29,1795.85,(4.93)
8192,358.54,1734.59,(4.84),364.76,2097.30,(5.75)
16384,358.17,1723.37,(4.81),365.13,1762.74,(4.83)
32768,354.87,1941.53,(5.47),365.25,2071.98,(5.67)
65536,356.85,2005.26,(5.62),365.28,2093.68,(5.73)
131072,294.68,1715.54,(5.82),364.90,1992.88,(5.46)
262144,288.50,1696.78,(5.88),356.61,1965.76,(5.51)
524288,350.40,1746.55,(4.98),360.17,1866.46,(5.18)
1048576,336.87,1576.86,(4.68),354.80,1740.06,(4.90)
2097152,325.20,753.42,(2.32),344.95,1042.67,(3.02)
4194304,324.09,765.53,(2.36),334.12,968.04,(2.90)
8000000,340.31,820.34,(2.41),356.35,1009.64,(2.83)
