NUMTRIALS,BLOCKSIZE,MegaTrials/sec,Probability (%)
1024,8,12.2935,83.59
1024,32,10.0251,83.98
1024,64,7.6739,83.20
1024,128,11.3838,82.52
1024,256,11.4819,85.35
4096,8,36.2709,84.30
4096,32,51.5921,83.59
4096,64,51.5505,83.96
4096,128,50.7132,83.59
4096,256,34.9918,82.91
16384,8,181.7536,83.69
16384,32,152.6081,83.69
16384,64,194.1600,84.01
16384,128,197.1506,83.44
16384,256,127.8083,84.30
65536,8,430.1617,83.90
65536,32,127.3790,83.82
65536,64,550.5376,83.85
65536,128,683.1221,83.76
65536,256,712.8437,83.97
262144,8,725.7264,83.78
262144,32,1862.2413,83.75
262144,64,2104.8304,83.70
262144,128,2074.9748,83.73
262144,256,2011.7879,83.80
1048576,8,1070.9897,83.80
1048576,32,3255.6385,83.80
1048576,64,4244.5595,83.80
1048576,128,4923.8166,83.77
1048576,256,4450.9643,83.85
2097152,8,1094.8761,83.79
2097152,32,130.0140,83.80
2097152,64,5016.9182,83.73
2097152,128,5838.3964,83.82
2097152,256,5788.8880,83.81
